header,sub,item,unit,description
304,33,0,KGM,--Nile Perch (Lates niloticus)
304,39,0,KGM,--Other
304,41,0,KGM,"--Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
304,42,0,KGM,"--Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
304,43,0,KGM,"--Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
304,44,0,KGM,"--Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
304,45,0,KGM,--Swordfish (Xiphias gladius)
304,46,0,KGM,--Toothfish (Dissostichus spp.)
304,49,0,KGM,--Other
304,51,0,KGM,"--Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
304,52,0,KGM,--Salmonidae
304,53,0,KGM,"--Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
304,54,0,KGM,--Swordfish (Xiphias gladius)
304,55,0,KGM,--Toothfish (Dissostichus spp.)
304,59,0,KGM,--Other
304,61,0,KGM,--Tilapias (Oreochromis spp.)
304,62,0,KGM,"--Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
304,63,0,KGM,--Nile Perch (Lates niloticus)
304,69,0,KGM,--Other
304,71,0,KGM,"--Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
304,72,0,KGM,--Haddock (Melanogrammus aeglefinus)
304,73,0,KGM,--Coalfish (Pollachius virens)
304,74,0,KGM,"--Hake (Merluccius spp., Urophycis spp.)"
304,75,0,KGM,--Alaska Pollack (Theraga chalcogramma)
304,79,0,KGM,--Other
304,81,0,KGM,"--Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
304,82,0,KGM,"--Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
304,83,0,KGM,"--Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
304,84,0,KGM,--Swordfish (Xiphias gladius)
304,85,0,KGM,--Toothfish (Dissostichus spp.)
304,86,0,KGM,"--Herrings (Clupea harengus, Clupea pallasii)"
304,87,0,KGM,"--Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis)"
304,89,0,KGM,--Other
304,91,0,KGM,--Swordfish (Xiphias gladius)
304,92,0,KGM,--Toothfish (Dissostichus spp.)
304,93,0,KGM,"--Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
304,94,0,KGM,--Alaska Pollack (Theragra chalcogramma)
304,95,0,KGM,"--Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, other than Alaska Pollack (Theraga chalcogramma)"
304,99,0,KGM,--Other
305,10,0,KGM,"-Flours, meals and pellets of fish, fit for human consumption"
305,20,100,KGM,--Of cod
305,20,210,KGM,---Smoked
305,20,220,KGM,"---Dried, salted or in brine"
305,20,310,KGM,---Smoked
305,20,320,KGM,"---Dried, salted or in brine"
305,20,410,KGM,---Smoked
305,20,420,KGM,"---Dried, salted or in brine"
305,31,0,KGM,"--Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
305,32,0,KGM,"--Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae"
305,39,100,KGM,---Of freshwater fish
305,39,200,KGM,---Of marine fish
305,41,0,KGM,"--Pacific salmon (Oncorhynchus nerka, Oncorhynchus gosbuscha, Oncorhynchus keta, Oncorhynchustschawytscha, Oncorhynchus kisutch, Oncorhynchus masou,and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)"
305,42,0,KGM,"--Herrings (Clupea harengus, Clupea pallasii)"
305,43,0,KGM,"--Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
305,44,0,KGM,"--Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
305,49,0,KGM,--Other
305,51,0,KGM,"--Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
305,59,110,KGM,----Anchovies (Stolephorus spp.) (Ikan bilis)
305,59,190,KGM,----Other
305,59,400,KGM,---Freshwater
305,61,0,KGM,"--Herrings (Clupea harengus, Clupea pallasii)"
305,62,0,KGM,"--Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
305,63,0,KGM,--Anchovies (Engraulis spp.)
305,64,0,KGM,"--Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)"
305,69,300,KGM,---Marine
305,69,400,KGM,---Freshwater
305,71,0,KGM,--Shark fins
305,72,110,KGM,----Of cod
305,72,190,KGM,----Other
